ave	white
0	98
74	95
74	95
74	98
83	107
80	111
77	114
75	119
75	120
75	125
75	127
75	124
75	122
75	123
75	126
75	126
75	127
75	128
75	128
75	129
75	131
108	131
109	133
109	135
110	137
110	139
111	141
111	143
112	145
112	147
113	149
113	150
114	151
114	152
115	153
115	154
116	154
117	155
117	155
118	156
80	160
80	160
74	137
75	114
74	96
74	86
73	86
73	85
73	87
73	87
73	89
73	89
72	90
73	91
72	92
73	93
73	93
73	95
73	95
73	97
73	97
73	99
73	99
73	99
73	101
73	101
73	103
73	103
72	104
73	105
73	105
72	106
73	107
72	108
73	109
73	109
72	110
73	111
73	111
73	113
73	113
73	113
73	115
73	115
73	115
73	117
73	117
73	117
73	119
73	119
73	119
73	121
73	121
73	121
73	123
73	123
73	123
73	123
73	125
73	125
73	125
73	127
73	127
73	127
73	128
73	129
73	129
73	129
73	130
73	130
73	131
73	132
73	132
73	132
73	132
73	134
73	134
79	123
73	97
