ave	white
0	19
73	55
71	71
68	80
66	87
63	94
61	97
60	99
58	102
56	104
55	106
79	106
80	93
80	85
80	81
80	76
80	73
79	69
80	66
79	64
79	63
80	61
79	62
79	64
79	64
79	66
79	68
79	68
79	70
80	71
79	72
79	74
79	74
79	76
79	76
79	78
79	78
79	80
79	81
79	82
79	83
79	84
79	85
79	86
79	87
79	88
79	89
79	90
79	91
79	92
79	93
79	94
79	95
79	95
79	97
79	97
79	99
79	99
79	101
79	101
78	102
79	103
78	104
79	105
78	106
79	107
79	107
78	108
79	109
78	110
79	111
78	112
78	112
79	113
78	114
78	114
78	116
78	116
79	117
78	118
78	118
78	120
78	120
78	120
78	122
78	122
78	122
78	124
78	124
78	124
78	126
78	126
78	126
78	128
78	128
78	128
78	129
78	130
78	130
78	131
78	132
78	132
78	132
78	133
78	134
78	134
78	135
78	135
78	136
78	136
78	137
78	137
78	138
78	138
78	138
78	139
78	140
79	128
79	120
