ave	white
0	3
80	3
80	3
71	5
77	7
77	7
75	5
75	5
75	1
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
80	0
60	16
62	54
63	77
63	94
63	107
60	113
59	118
59	118
59	119
59	119
60	120
60	120
60	121
60	121
61	122
61	122
61	123
61	123
62	124
62	124
62	125
62	125
63	126
63	126
63	126
63	127
63	127
64	128
64	128
64	129
64	129
65	130
65	130
65	130
65	131
65	131
66	132
66	132
66	133
66	133
66	133
67	134
67	134
67	134
67	135
67	135
68	136
70	130
73	124
77	118
80	112
80	113
80	114
80	114
80	115
80	116
80	117
80	117
80	119
80	119
80	119
80	121
80	121
79	122
79	122
80	123
79	124
79	124
80	125
79	126
79	126
79	127
79	128
79	128
79	129
79	130
79	130
79	131
79	131
79	132
79	133
79	133
79	133
79	135
79	135
79	135
78	136
78	136
78	136
79	137
78	138
78	138
78	138
78	138
78	139
78	140
79	129
79	117
