ave	white
0	36
83	26
83	18
83	14
84	11
85	4
85	2
86	0
86	0
87	0
88	0
88	0
89	0
90	0
90	0
91	0
74	42
79	54
83	63
86	70
89	77
91	83
93	88
95	93
97	99
98	102
100	107
101	110
102	114
102	115
102	115
101	116
101	117
101	117
100	118
100	118
100	119
99	120
99	120
99	121
99	121
98	122
98	122
98	123
98	123
97	124
97	125
97	125
96	126
96	126
96	127
96	127
95	128
79	123
79	110
79	100
79	99
79	99
79	101
79	101
79	102
79	103
79	104
79	105
79	105
79	107
79	107
79	109
79	109
79	110
79	111
79	111
79	113
79	113
79	113
79	115
79	115
79	117
79	117
79	117
79	119
79	119
78	120
79	121
79	121
78	122
79	123
79	123
78	124
79	125
79	125
78	126
79	127
79	127
78	128
79	129
79	129
78	130
79	131
79	131
78	132
78	132
79	133
79	133
78	134
79	135
79	135
78	136
78	136
79	137
79	137
78	138
78	138
78	138
79	139
79	139
78	140
80	130
80	121
