ave	white
0	86
88	83
88	77
88	74
88	71
88	69
88	65
87	66
88	67
88	69
87	70
87	72
87	72
87	73
87	74
87	73
87	73
87	74
87	75
87	73
87	73
87	72
87	71
87	72
86	73
87	74
86	75
86	77
86	75
86	77
86	76
86	72
86	73
86	75
86	75
86	77
86	77
86	79
85	80
86	81
85	82
86	83
85	84
85	86
85	86
85	88
85	88
85	90
85	91
85	92
85	93
85	94
85	95
85	96
85	97
84	98
85	99
84	100
85	101
84	102
85	103
84	104
84	104
84	106
84	106
84	108
84	108
84	109
84	110
84	111
84	111
84	113
84	113
83	114
84	115
84	115
83	116
84	117
83	118
83	118
84	119
83	120
83	120
83	122
83	122
83	122
83	124
83	124
83	125
83	125
83	126
83	127
83	127
82	128
83	129
83	129
82	130
82	130
83	131
82	132
82	132
82	132
82	134
82	134
82	134
82	135
82	135
82	136
82	137
82	137
82	137
82	139
82	139
82	139
81	140
81	140
81	140
108	136
80	125
