ave	white
0	67
81	66
81	64
81	58
81	60
81	62
81	61
81	58
81	56
81	57
81	57
81	57
81	59
80	59
81	60
81	61
80	61
80	61
80	60
90	45
91	45
91	43
91	45
91	45
92	47
92	49
92	50
92	53
92	54
93	54
93	55
93	57
93	56
93	59
94	60
94	61
80	81
80	81
80	83
80	83
80	83
80	83
80	85
79	86
80	87
79	88
80	89
79	90
80	91
79	92
80	93
79	94
80	95
79	96
80	97
79	98
80	99
79	100
79	100
79	102
79	102
80	103
79	104
80	105
79	106
80	107
80	107
80	109
80	109
80	111
80	111
80	111
80	113
80	113
79	114
80	115
79	116
79	116
79	118
79	118
79	118
79	120
79	120
79	121
79	122
79	122
79	123
79	124
79	124
79	125
79	126
79	126
79	127
79	128
79	128
79	129
79	130
79	130
79	131
79	132
79	132
79	133
79	133
79	134
79	135
79	135
79	135
79	136
79	137
79	137
79	137
79	139
79	139
79	139
79	139
79	139
79	141
79	129
79	121
