ave	white
0	98
110	98
110	99
109	100
79	98
79	98
78	98
78	98
79	97
78	91
78	90
79	81
78	79
78	80
78	78
78	76
78	76
69	59
68	59
67	59
67	60
67	62
67	60
67	62
66	63
66	67
66	67
65	68
65	66
65	68
65	70
65	71
66	77
78	89
78	89
78	90
78	92
77	92
78	91
77	86
78	83
77	84
78	85
77	86
78	87
77	88
78	89
77	90
78	91
77	92
78	93
77	94
78	95
77	96
78	97
77	98
78	99
77	100
78	101
77	102
77	102
77	104
77	104
77	106
77	106
78	107
77	108
77	108
77	110
77	110
77	112
77	112
78	113
77	114
77	114
77	116
77	116
78	117
77	118
77	118
77	120
77	120
77	120
77	122
77	122
77	122
77	124
77	124
77	125
77	126
77	126
77	127
77	128
77	128
77	128
77	130
77	130
77	130
77	132
77	132
77	132
78	133
77	134
77	134
77	134
78	135
77	136
77	136
77	136
78	137
77	138
77	138
77	138
77	138
77	140
77	140
77	140
79	131
79	123
